"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-004-CDC-GADPLC-2015-114590","004-CDC-GADPLC-2015-114590-2021-12-02T19:45:07.756Z","004-CDC-GADPLC-2015-114590","004-CDC-GADPLC-2015-114590","FISCALIZACION DE LA ACTUALIZACION DE LOS PLANES DE DESARROLLO Y ORDENAMIENTO TERRITORIAL PARROQUIAL LUIS CORDERO","complete","EC-RUC-0360017710001-114590","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL LUIS CORDERO","2000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-07-02T17:00:00-05:00","","","","2015-07-02T17:00:00-05:00","2015-07-03T10:00:00-05:00","2015-07-03T10:00:00-05:00","","","Experiencia Específica,Experiencia Personal Técnico","","2015-07-08T17:00:00-05:00","2015-07-08T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-EECS-DD-016-2015-56835","CDC-EECS-DD-016-2015-56835-2021-12-02T21:03:23.019Z","CDC-EECS-DD-016-2015-56835","CDC-EECS-DD-016-2015-56835","ELABORACIÓN DE DISEÑOS DE SISTEMAS DE DISTRIBUCIÓN ELÉCTRICA","complete","EC-RUC-0190003809001-56835","EMPRESA ELECTRICA REGIONAL CENTROSUR C.A.","8932.08","USD","direct","Contratacion directa","services","ratedCriteria","2015-08-31T19:00:00-05:00","","","","2015-08-31T19:00:00-05:00","2015-09-01T19:00:00-05:00","2015-09-01T19:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2015-09-14T16:30:00-05:00","2015-09-14T16:30:00-05:00","","1"
"ocds-5wno2w-0003-CDC-GADPEA-2015-114995","0003-CDC-GADPEA-2015-114995-2021-12-02T19:56:50.084Z","0003-CDC-GADPEA-2015-114995","0003-CDC-GADPEA-2015-114995","Actactualizacion del Plan de Desarrollo y Ordenamiento Terrotorial de la parroquia El Airo, 2014-2019, incluyendo la formulacion de un proyecto prioritario que se establezca en el mismo","complete","EC-RUC-1160024180001-114995","GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA EL AIRO","12500.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-07-13T10:00:00-05:00","","","","2015-07-13T10:00:00-05:00","2015-07-13T12:00:00-05:00","2015-07-13T12:00:00-05:00","","","Experiencia General,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2015-07-16T17:00:00-05:00","2015-07-16T17:00:00-05:00","","1"
"ocds-5wno2w-001-CDC-GADPRSPU-01--116595","001-CDC-GADPRSPU-01--116595-2021-12-02T23:58:19.803Z","001-CDC-GADPRSPU-01--116595","001-CDC-GADPRSPU-01--116595","ACTUALIZACION DEL PDOT DE LA PARROQUIA SAN PABLO DE USHPAYACU","complete","EC-RUC-1560602240001-116595","JUNTA PARROQUIAL SAN PABLO DE USHPAYACU","24000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-05-08T09:00:00-05:00","","","","2015-05-08T09:00:00-05:00","2015-05-11T10:00:00-05:00","2015-05-11T10:00:00-05:00","3","","Experiencia General,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2015-05-15T10:00:00-05:00","2015-05-15T10:00:00-05:00","","1"
"ocds-5wno2w-2015-0001-GADPCH-CDC-111696","2015-0001-GADPCH-CDC-111696-2021-12-03T00:52:44.107Z","2015-0001-GADPCH-CDC-111696","2015-0001-GADPCH-CDC-111696","ACTUALIZACION DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DE LA PARROQUIA CHIBUNGA DEL CANTÓN CHONE","complete","EC-RUC-1360034880001-111696","JUNTA PARROQUIAL DE CHIBUNGA","23000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-04-23T17:00:00-05:00","","","","2015-04-23T17:00:00-05:00","2015-04-24T09:00:00-05:00","2015-04-24T09:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Programación de los Servicios","","2015-05-04T15:00:00-05:00","2015-05-04T15:00:00-05:00","","1"
"ocds-5wno2w-2-CCD-GADPRP-2-2015-113293","2-CCD-GADPRP-2-2015-113293-2021-12-03T01:25:30.944Z","2-CCD-GADPRP-2-2015-113293","2-CCD-GADPRP-2-2015-113293","MEJORAMIENTO DE LIQUIDO VITAL EN EL SECTOR CHILCA DE LA COMUNIDAD APAHUA DE LA PARROQUIA RURAL DE PILALO CANTON PUJILI PROVINCIA DE COTOPAXI.","complete","EC-RUC-0560018160001-113293","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PILALO","8000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-11-30T18:00:00-05:00","","","","2015-11-30T18:00:00-05:00","2015-12-01T15:00:00-05:00","2015-12-01T15:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2015-12-09T10:00:00-05:00","2015-12-09T10:00:00-05:00","","1"
"ocds-5wno2w-2RCDC-GPG-DGA-003-15-31125","2RCDC-GPG-DGA-003-15-31125-2021-12-02T23:39:58.392Z","2RCDC-GPG-DGA-003-15-31125","2RCDC-GPG-DGA-003-15-31125","MONITOREO Y ANÁLISIS A LA DESCARGA DE AFLUENTES DE LOS SISTEMAS DE TRATAMIENTO DE AGUAS RESIDUALES DE ORIGEN INDUSTRIAL Y DOMESTICO CONDUCIDOS A DIFERENTES CUERPOS HIDRÍCOS DE LA PROVINCIA DEL GUAYAS","complete","EC-RUC-0960000140001-31125","Gobierno Provincial del Guayas","72500.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-12-28T20:00:00-05:00","","","","2015-12-28T20:00:00-05:00","2015-12-29T20:00:00-05:00","2015-12-29T20:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-01-08T17:00:00-05:00","2016-01-08T17:00:00-05:00","","1"
"ocds-5wno2w-3RCDC-GPG-DIEP001-15-31125","3RCDC-GPG-DIEP001-15-31125-2021-12-02T22:22:45.340Z","3RCDC-GPG-DIEP001-15-31125","3RCDC-GPG-DIEP001-15-31125","ESTUDIO Y DISEÑO DEFINITIVO DE LA VIA LA EUGENIA-RCTO, EL PARAÍSO CON UNA LONGITUD DE 4.60 KM EN EL CANTÓN MILAGRO DE LA PROVINCIA DEL GUAYAS","complete","EC-RUC-0960000140001-31125","Gobierno Provincial del Guayas","46000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-10-27T19:00:00-05:00","","","","2015-10-27T19:00:00-05:00","2015-10-28T19:00:00-05:00","2015-10-28T19:00:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2015-11-16T18:00:00-05:00","2015-11-16T18:00:00-05:00","","1"
"ocds-5wno2w-832210011-113485","832210011-113485-2021-12-03T00:52:09.030Z","832210011-113485","832210011-113485","-Actualizar o elaborara el Plan de Desarrollo y Ordenamiento Territorial de la Parroquia Pan de Azúcar, según la normativa legal vigente en el País, de manera participativa y en coordinación con el GAD parroquial de Pan de Azúcar.","complete","EC-RUC-1460020560001-113485","GOBIERNO AUTÓNOMO DESCENTRALIZADO PARROQUIAL RURAL DE PAN DE AZÚCAR","15680.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-04-17T15:00:00-05:00","","","","2015-04-17T15:00:00-05:00","2015-04-17T18:00:00-05:00","2015-04-17T18:00:00-05:00","","","Experiencia General,Experiencia Específica,Plan de Trabajo,Instrumentos y equipos disponibles","","2015-04-24T12:00:00-05:00","2015-04-24T12:00:00-05:00","","1"
"ocds-5wno2w-CDC-CNTEP-1102695-15-236009","CDC-CNTEP-1102695-15-236009-2021-12-02T17:19:47.655Z","CDC-CNTEP-1102695-15-236009","CDC-CNTEP-1102695-15-236009","SERVICIOS DE CONSULTORÍA PARA EVALUACIÓN DEL DESEMPEÑO","complete","EC-RUC-1768152560001-236009","CORPORACION NACIONAL DE TELECOMUNICACIONES","65000.00","USD","direct","Contratacion directa","services","ratedCriteria","2015-03-11T16:00:00-05:00","","","","2015-03-11T16:00:00-05:00","2015-03-12T16:30:00-05:00","2015-03-12T16:30:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2015-03-30T15:00:00-05:00","2015-03-30T15:00:00-05:00","","1"
