"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-GADPCASANGA-2024-001-126121","CDC-GADPCASANGA-2024-001-126121-2024-01-24T02:33:21.384Z","CDC-GADPCASANGA-2024-001-126121","CDC-GADPCASANGA-2024-001-126121","ESTUDIOS DE EVALUACION, DIAGNÓSTICO Y DISEÑOS DEFINITIVOS DEL SISTEMA REGIONAL DE AGUA POTABLE PARA LA CABECERA PARROQUIAL CASANGA Y LOS BARRIOS LA RAYAN, PORTACHUELOS, MIRAFLORES, LA SOTA, ALMENDRAL, PUEBLO NUEVO, LA CRUZ, SAN GABRIEL Y SABANILLA, Y ACTUALIZACIÓN DEL SISTEMA DE ALCANTARILLADO SANITARIO DE CASANGA, PARROQUIA CASANGA DEL CANTÓN PALTAS PROVINCIA DE LOJA","complete","EC-RUC-1160032600001-126121","Junta Parroquial Casanga","27500.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-15T18:00:00-05:00","","","","2024-01-15T18:00:00-05:00","2024-01-16T18:00:00-05:00","2024-01-16T18:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2024-01-24T17:00:00-05:00","2024-01-24T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMCV--2024-001-2578","CDC-GADMCV--2024-001-2578-2024-03-27T13:54:07.421Z-compiled","CDC-GADMCV--2024-001-2578","CDC-GADMCV--2024-001-2578","ACTUALIZACIÓN DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL Y PLAN DE USO Y GESTIÓN DEL SUELO (URBANO Y RURAL) DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE VALENCIA","active","EC-RUC-1260002000001-2578","MUNICIPALIDAD DEL CANTON VALENCIA  ","62900.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-23T16:00:00-05:00","","","","2024-01-23T16:00:00-05:00","2024-01-25T16:00:00-05:00","2024-01-25T16:00:00-05:00","2","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2024-02-08T17:00:00-05:00","2024-02-08T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMC-CH-2024-0002-39596","CDC-GADMC-CH-2024-0002-39596-2024-10-30T19:44:00.278Z-compiled","CDC-GADMC-CH-2024-0002-39596","CDC-GADMC-CH-2024-0002-39596","CONTRATACIÓN DE ESTUDIO Y DISEÑO DEFINITIVO PARA LA REGENERACIÓN URBANA DE VARIAS CALLES DE LA PARROQUIA SAN JOSE DEL CANTÓN CHIMBO","active","EC-RUC-0260000680001-39596","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CHIMBO","20000.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-19T08:00:00-05:00","","","","2024-01-19T08:00:00-05:00","2024-01-23T08:00:00-05:00","2024-01-23T08:00:00-05:00","4","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2024-02-05T16:24:00-05:00","2024-02-05T16:24:00-05:00","","1"
"ocds-5wno2w-CDC-1160028920001-2024-0001-125986","CDC-1160028920001-2024-0001-125986-2024-01-30T11:42:43.133Z-compiled","CDC-1160028920001-2024-0001-125986","CDC-1160028920001-2024-0001-125986","ACTUALIZACIÓN DEL PLAN DE DESARROLLO Y DE ORDENAMIENTO TERRITORIAL DE LA PARROQUIA LIMONES, CANTON ZAPOTILLO, PROVINCIA DE LOJA","active","EC-RUC-1160028920001-125986","GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LIMONES","21000.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-16T17:00:00-05:00","","","","2024-01-16T17:00:00-05:00","2024-01-17T17:00:00-05:00","2024-01-17T17:00:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2024-01-30T17:00:00-05:00","2024-01-30T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADPM-2024-001-132924","CDC-GADPM-2024-001-132924-2025-09-26T19:03:12.277Z-compiled","CDC-GADPM-2024-001-132924","CDC-GADPM-2024-001-132924","ACTUALIZACION DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DE LA PARROQUIA MOLLETURO","complete","EC-RUC-0160027390001-132924","JUNTA PARROQUIAL DE MOLLETURO","50000.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-15T12:45:00-05:00","","","","2024-01-15T12:45:00-05:00","2024-01-16T12:45:00-05:00","2024-01-16T12:45:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2024-01-22T11:00:00-05:00","2024-01-22T11:00:00-05:00","","1"
"ocds-5wno2w-CDC-EMOVPA-2024-0001-835371","CDC-EMOVPA-2024-0001-835371-2024-02-15T11:55:51.428Z-compiled","CDC-EMOVPA-2024-0001-835371","CDC-EMOVPA-2024-0001-835371","ESTUDIO DE DETERMINACIÓN DE NECESIDADES DE DISPOSITIVOS TECNOLÓGICOS PARA EL CONTROL DE TRÁNSITO Y SEGURIDAD VIAL EN EL CANTÓN PAUTE.","complete","EC-RUC-0160062620001-835371","EMPRESA PUBLICA MUNICIPAL DE MOVILIDAD DEL CANTON PAUTE EMOVPAUTE EP","50000.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-08T16:00:00-05:00","","","","2024-01-08T16:00:00-05:00","2024-01-08T17:00:00-05:00","2024-01-08T17:00:00-05:00","","","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2024-01-18T16:00:00-05:00","2024-01-18T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-FIDPLAYA-2024-001-504068","CDC-FIDPLAYA-2024-001-504068-2024-02-06T11:43:36.300Z-compiled","CDC-FIDPLAYA-2024-001-504068","CDC-FIDPLAYA-2024-001-504068","Contratación de una firma auditora externa para examinar los Estados Financieros del FIDEICOMISO MERCANTIL DE TENENCIA, ADMINISTRACIÓN Y GESTIÓN INMOBILIARIA BIESS- LA PLAYA, correspondiente al ejercicio fiscal del año 2023","active","EC-RUC-1792367158001-504068","Fideicomiso BIESS-La Playa","970.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-23T20:00:00-05:00","","","","2024-01-23T20:00:00-05:00","2024-01-24T20:00:00-05:00","2024-01-24T20:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2024-02-05T20:00:00-05:00","2024-02-05T20:00:00-05:00","","1"
"ocds-5wno2w-CDC-ANDEC-2024-001-467908","CDC-ANDEC-2024-001-467908-2024-04-17T14:41:19.062Z-compiled","CDC-ANDEC-2024-001-467908","CDC-ANDEC-2024-001-467908","CONSULTA TÉCNICA Y ECONÓMICA ACTUARIAL","complete","EC-RUC-0990001340001-467908","ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.)","1900.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-08T15:00:00-05:00","","","","2024-01-08T15:00:00-05:00","2024-01-09T15:00:00-05:00","2024-01-09T15:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2024-01-19T16:30:00-05:00","2024-01-19T16:30:00-05:00","","1"
"ocds-5wno2w-CDC-EPMAPA-PVM-2024-001-312352","CDC-EPMAPA-PVM-2024-001-312352-2024-06-26T00:15:19.994Z-compiled","CDC-EPMAPA-PVM-2024-001-312352","CDC-EPMAPA-PVM-2024-001-312352","CONTRATACIÓN DE SERVICIO DE AUDITORIA EXTERNA PARA DICTAMINAR LA RAZONABILIDAD DE LOS ESTADOS FINANCIEROS DE LA EMPRESA PÚBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PEDRO VICENTE MALDONADO- EPMAPA -PVM POR LOS EJERCICIOS ECONÓMICOS DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2017, 2018, 2019, 2020, 2021 Y 2022","active","EC-RUC-1768156120001-312352","EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PEDRO VICENTE MALDONADO","17375.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-23T13:00:00-05:00","","","","2024-01-23T13:00:00-05:00","2024-01-24T13:00:00-05:00","2024-01-24T13:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2024-02-08T16:00:00-05:00","2024-02-08T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADPRSAB-2024-01-126127","CDC-GADPRSAB-2024-01-126127-2025-12-29T21:13:00.834Z-compiled","CDC-GADPRSAB-2024-01-126127","CDC-GADPRSAB-2024-01-126127","CONSULTORÍA PARA LA “ACTUALIZACIÓN DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DE LA PARROQUIA SAN ANTONIO DE BAYUSHIG PERIODO 2023-2027”","complete","EC-RUC-0660820750001-126127","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SAN ANTONIO DE BAYUSHIG","15000.00","USD","direct","Contratacion directa","services","ratedCriteria","2024-01-08T08:00:00-05:00","","","","2024-01-08T08:00:00-05:00","2024-01-08T10:00:00-05:00","2024-01-08T10:00:00-05:00","","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2024-01-17T09:30:00-05:00","2024-01-17T09:30:00-05:00","","1"
