"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-APCNFY-001-2018-913591","CDC-APCNFY-001-2018-913591-2021-12-01T14:31:09.536Z","CDC-APCNFY-001-2018-913591","CDC-APCNFY-001-2018-913591","Contrataciòn Tècnico Financiero Contable","complete","EC-RUC-0190447952001-913591","ASOCIACION DE PEQUEÑOS PRODUCTORES DE CAFE NUEVA FATIMA DE YANASACHA","2500.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-12-06T09:00:00-05:00","","","","2018-12-06T09:00:00-05:00","2018-12-06T12:30:00-05:00","2018-12-06T12:30:00-05:00","","","Experiencia General,Experiencia Específica,Instrumentos y equipos disponibles,Participación Nacional","","2018-12-11T18:30:00-05:00","2018-12-11T18:30:00-05:00","","1"
"ocds-5wno2w-CDC-APCNFY-004-2018-913591","CDC-APCNFY-004-2018-913591-2021-12-01T14:39:57.435Z","CDC-APCNFY-004-2018-913591","CDC-APCNFY-004-2018-913591","CONTRATACION TECNICO ALIMENTOS","complete","EC-RUC-0190447952001-913591","ASOCIACION DE PEQUEÑOS PRODUCTORES DE CAFE NUEVA FATIMA DE YANASACHA","2000.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-12-17T16:00:00-05:00","","","","2018-12-17T16:00:00-05:00","2018-12-17T17:30:00-05:00","2018-12-17T17:30:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2018-12-19T18:00:00-05:00","2018-12-19T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-APCNFY-003-2018-913591","CDC-APCNFY-003-2018-913591-2021-12-01T14:31:44.644Z","CDC-APCNFY-003-2018-913591","CDC-APCNFY-003-2018-913591","CONTRATACION TECNICO AGRONOMO","complete","EC-RUC-0190447952001-913591","ASOCIACION DE PEQUEÑOS PRODUCTORES DE CAFE NUEVA FATIMA DE YANASACHA","4285.71","USD","direct","Contratacion directa","services","ratedCriteria","2018-12-06T13:15:00-05:00","","","","2018-12-06T13:15:00-05:00","2018-12-06T15:00:00-05:00","2018-12-06T15:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2018-12-13T18:00:00-05:00","2018-12-13T18:00:00-05:00","","1"
"ocds-5wno2w-002-CDC-GADMB-2018-20973","002-CDC-GADMB-2018-20973-2021-12-01T14:54:06.986Z","002-CDC-GADMB-2018-20973","002-CDC-GADMB-2018-20973","CONTRATACION DE UN SERVICIO PARA LA ELABORACION DEL INFORME SEMESTRAL DE PRODUCCION AUDITADO PARA LOS LIBRES APROVECHAMIENTOS TEMPORAL DE MATERIALES DE CONSTRUCCION:  GADM BABAHOYO J UNO CODIGO 70000087; CON LA FINALIDAD DE CUMPLIR CON LO ESTIPULADO EN EL ART.42 DE LA LEY DE MINERIA","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","2500.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-03-07T17:00:00-05:00","","","","2018-03-07T17:00:00-05:00","2018-03-08T17:00:00-05:00","2018-03-08T17:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-03-15T18:00:00-05:00","2018-03-15T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-ISSFA-2018-008-2803","CDC-ISSFA-2018-008-2803-2021-12-01T14:11:23.933Z","CDC-ISSFA-2018-008-2803","CDC-ISSFA-2018-008-2803","CONTRATAR EL SERVICIO DE ELABORACIÓN DEL MANUAL DE ESTILO INSTITUCIONAL","complete","EC-RUC-1768022190001-2803","ISSFA","1785.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-11-15T14:00:00-05:00","","","","2018-11-15T14:00:00-05:00","2018-11-15T17:30:00-05:00","2018-11-15T17:30:00-05:00","","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-11-26T16:30:00-05:00","2018-11-26T16:30:00-05:00","","1"
"ocds-5wno2w-006-CDC-GADMB-2018-20973","006-CDC-GADMB-2018-20973-2021-12-01T15:53:38.141Z","006-CDC-GADMB-2018-20973","006-CDC-GADMB-2018-20973","FISCALIZACIÓN DE LA TERMINACIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS PARA EL PROYECTO DE ALCANTARILLADO SANITARIO LA VENTURA INCLUYE INSTALACIÓN DE EQUIPOS PARA LA ESTACIÓN DE BOMBEO, EN LA OBRA DE SANEAMIENTO DEL PROYECTO LA VENTURA","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","51192.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-11-12T18:00:00-05:00","","","","2018-11-12T18:00:00-05:00","2018-11-13T18:00:00-05:00","2018-11-13T18:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-11-21T18:00:00-05:00","2018-11-21T18:00:00-05:00","","1"
"ocds-5wno2w-008-CDC-GADMB-2018-20973","008-CDC-GADMB-2018-20973-2021-12-01T15:44:16.425Z","008-CDC-GADMB-2018-20973","008-CDC-GADMB-2018-20973","CONTRATACION DE UN SERVICIO DE AUDITORIA AMBIENTAL DE CUMPLIMIENTO AL PLAN DE MANEJO AMBIENTAL DE LOS PROYECTOS CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO SANITARIO Y PLUVIAL DE LAS PARROQUIAS BARREIRO Y EL SALTO Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO SANITARIO Y PLUVIAL PARA LA CUIDADELA UNIVERSITARIA","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","12000.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-10-11T19:00:00-05:00","","","","2018-10-11T19:00:00-05:00","2018-10-12T11:00:00-05:00","2018-10-12T11:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-10-17T18:00:00-05:00","2018-10-17T18:00:00-05:00","","1"
"ocds-5wno2w-009-CDC-GADMB-2018-20973","009-CDC-GADMB-2018-20973-2021-12-01T15:54:18.241Z","009-CDC-GADMB-2018-20973","009-CDC-GADMB-2018-20973","CONTRATACIÓN DE UN SERVICIO DE CONSULTORÍA; PARA REALIZAR EL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “DRAGADO DEL RIO BABAHOYO PARA EL RELLENO HIDRÁULICO DEL SECTOR SOL BBRISA II DE LA CIUDAD DE BABAHOYO","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","22000.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-11-12T19:00:00-05:00","","","","2018-11-12T19:00:00-05:00","2018-11-13T19:00:00-05:00","2018-11-13T19:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-11-20T18:00:00-05:00","2018-11-20T18:00:00-05:00","","1"
"ocds-5wno2w-004-CDC-GADMB-2018-20973","004-CDC-GADMB-2018-20973-2021-12-01T15:25:52.376Z","004-CDC-GADMB-2018-20973","004-CDC-GADMB-2018-20973","SERVICIO DE PERFORACIONES DE SUELOS Y BATIMETRIA EN LA FALLA OCURRIDA EN LA OBRA CONSTRUCCION DE PANTALLA DE TABLAESTACADO PARA LA PROTECCION DE LA RIBERA DEL RIO CATARAMA EN LA CUIDAD DE BABAHOYO Y EMISION DE INFORME GEOTECNICO","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","13620.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-07-25T19:00:00-05:00","","","","2018-07-25T19:00:00-05:00","2018-07-26T19:00:00-05:00","2018-07-26T19:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-08-02T18:00:00-05:00","2018-08-02T18:00:00-05:00","","1"
"ocds-5wno2w-170355-95534","170355-95534-2021-12-01T15:47:39.462Z","170355-95534","170355-95534","ELABORACION DEL ESTUDIO Y DISEÑO PARA LA CONSTRUCCION DE UNA CANCHA DE CESPED SINTETICO Y CERRAMIENTO PERIMETRAL EN VIA A LA SANTUARIO DE LA PARROQUIA MANUEL CORNEJO ASTORGA","complete","EC-RUC-1768095580001-95534","Junta Parroquial Manuel Cornejo Astorga - Tandapi","2400.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-10-22T12:00:00-05:00","","","","2018-10-22T12:00:00-05:00","2018-10-23T13:00:00-05:00","2018-10-23T13:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2018-10-31T11:00:00-05:00","2018-10-31T11:00:00-05:00","","1"
"ocds-5wno2w-005-CDC-GADMB-2018-20973","005-CDC-GADMB-2018-20973-2021-12-01T15:29:03.937Z","005-CDC-GADMB-2018-20973","005-CDC-GADMB-2018-20973","FISCALIZACION DE LA TERMINACION DE LAS INSTALACIONES DEL MERCADO CENTRAL GUILLERMO BAQUERIZO JIMENEZ, INCLUIDO LOCALES COMERCIALES","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","68908.00","USD","direct","Contratacion directa","services","ratedCriteria","2018-08-07T19:30:00-05:00","","","","2018-08-07T19:30:00-05:00","2018-08-08T20:00:00-05:00","2018-08-08T20:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2018-08-16T18:00:00-05:00","2018-08-16T18:00:00-05:00","","1"
