"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-030156-116755","030156-116755-2021-11-29T14:16:38.806Z","030156-116755","030156-116755","Contar con un equipo de trabajo multidisciplinario que actualice el Plan de  Desarrollo  y  Ordenamiento  Territorial  del  Gobierno  Autónomo Descentralizado  Parroquial  de Pindilig,  de  conformidad  al  marco  legal  nacional vigente","complete","EC-RUC-0360018520001-116755","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE PINDILIG","17400.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-01-23T08:00:00-05:00","","","","2020-01-23T08:00:00-05:00","2020-01-23T14:00:00-05:00","2020-01-23T14:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-01-30T15:00:00-05:00","2020-01-30T15:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMCP-02-2020-63260","CDC-GADMCP-02-2020-63260-2021-11-29T14:24:07.274Z","CDC-GADMCP-02-2020-63260","CDC-GADMCP-02-2020-63260","ELABORACIÓN DEL PLAN DE USO Y GESTIÓN DE SUELO (PUGS) DEL CANTÓN PICHINCHA.","complete","EC-RUC-1360001870001-63260","Municipio Canton Pichincha","30000.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-03-25T09:00:00-05:00","","","","2020-03-25T09:00:00-05:00","2020-03-26T12:00:00-05:00","2020-03-26T12:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-04-01T18:00:00-05:00","2020-04-01T18:00:00-05:00","","1"
"ocds-5wno2w-CCD-EMS-006-2020-309632","CCD-EMS-006-2020-309632-2021-11-29T14:27:47.436Z","CCD-EMS-006-2020-309632","CCD-EMS-006-2020-309632","FISCALIZACIÓN DE LA ADQUISICIÓN E INSTALACIÓN DE CÁMARAS DE VIDEO VIGILANCIA CON RECONOCIMIENTO FACIAL EN EL DMQ FASE II","complete","EC-RUC-1768156390001-309632","EMPRESA PUBLICA METROPOLITANA DE LOGISTICA PARA LA SEGURIDAD Y LA CONVIVENCIA CIUDADANA EP","50900.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-04-29T16:00:00-05:00","","","","2020-04-29T16:00:00-05:00","2020-04-30T16:00:00-05:00","2020-04-30T16:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2020-05-08T16:00:00-05:00","2020-05-08T16:00:00-05:00","","1"
"ocds-5wno2w-CCD-EPAM-CP-004-2020-266435","CCD-EPAM-CP-004-2020-266435-2021-11-29T14:35:33.854Z","CCD-EPAM-CP-004-2020-266435","CCD-EPAM-CP-004-2020-266435","CONTRATACIÓN DE LOS SERVICIOS DE AUDITORÍA PARA DICTAMINAR LA RAZONABILIDAD DE LOS ESTADOS FINANCIEROS DE LA EMPRESA PÚBLICA CANTONAL DE AGUA POTABLE, ALCANTARILLADO, MANEJO PLUVIAL Y DEPURACIÓN DE RESIDUOS LIQUIDOS EP AGUAS DE MANTA, POR LOS EJERCICIOS ECONÓMICOS DEL 01 DE ENERO AL 31 DE DICIEMBRE DE 2017 DEL 01 DE ENERO AL 31 DE DICIEMBRE DE 2018 Y DEL 01 DE ENERO AL 31 DE DICIEMBRE DE 2019","complete","EC-RUC-1360064440001-266435","EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO, MANEJO PLUVIAL Y DEPURACION DE RESIDUOS LIQUIDOS DEL CANTON MANTA","25000.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-07-23T14:00:00-05:00","","","","2020-07-23T14:00:00-05:00","2020-07-23T16:00:00-05:00","2020-07-23T16:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-07-30T17:00:00-05:00","2020-07-30T17:00:00-05:00","","1"
"ocds-5wno2w-CCD-GADMCCH-001-2020-37091","CCD-GADMCCH-001-2020-37091-2021-11-29T14:22:48.800Z","CCD-GADMCCH-001-2020-37091","CCD-GADMCCH-001-2020-37091","CONTRATACIÓN DE ESTUDIOS DE CONSULTORÍA PARA LA ACTUALIZACIÓN DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL 2019-2023 Y ELABORACIÓN DEL PLAN DE USO Y GESTIÓN DEL SUELO 2020-2032 DEL CANTÓN CHILLA – PROVINCIA DE EL ORO","complete","EC-RUC-0160002210001-37091","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CHILLA","69700.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-03-11T14:00:00-05:00","","","","2020-03-11T14:00:00-05:00","2020-03-11T18:00:00-05:00","2020-03-11T18:00:00-05:00","","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-03-17T17:30:00-05:00","2020-03-17T17:30:00-05:00","","1"
"ocds-5wno2w-CCD-GADMCP-011-2020-8098","CCD-GADMCP-011-2020-8098-2021-11-29T14:32:58.182Z","CCD-GADMCP-011-2020-8098","CCD-GADMCP-011-2020-8098","“CONSULTORÍA PARA LA REESTRUCTURACIÓN DEL ESTATUTO ORGÁNICO DE GESTIÓN ORGANIZACIONAL POR PROCESOS; MANUAL DE VALORACIÓN, DESCRIPCIÓN Y CLASIFICACIÓN DE PUESTOS; Y, ELABORACIÓN DE LA PLANIFICACIÓN DE TALENTO HUMANO DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PAUTE”","complete","EC-RUC-0160000510001-8098","GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PAUTE","33035.71","USD","direct","Contratacion directa","services","ratedCriteria","2020-07-02T11:00:00-05:00","","","","2020-07-02T11:00:00-05:00","2020-07-02T18:00:00-05:00","2020-07-02T18:00:00-05:00","","TRUE","Experiencia General,Plan de Trabajo","","2020-07-14T11:51:00-05:00","2020-07-14T11:51:00-05:00","","1"
"ocds-5wno2w-CCD-GADMLA-2020-001-91040","CCD-GADMLA-2020-001-91040-2021-11-29T14:16:36.411Z","CCD-GADMLA-2020-001-91040","CCD-GADMLA-2020-001-91040","ESTUDIOS DE SUELOS PARA VARIAS OBRAS EN EL CANTON LAGO AGRIO","complete","EC-RUC-1560000510001-91040","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO","13695.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-01-22T17:00:00-05:00","","","","2020-01-22T17:00:00-05:00","2020-01-23T15:00:00-05:00","2020-01-23T15:00:00-05:00","","","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-01-31T17:00:00-05:00","2020-01-31T17:00:00-05:00","","1"
"ocds-5wno2w-CCD-GADMSJY-001-2020-128490","CCD-GADMSJY-001-2020-128490-2021-11-29T14:21:56.401Z","CCD-GADMSJY-001-2020-128490","CCD-GADMSJY-001-2020-128490","CONSULTORIA DE MANTENIMIENTO, DESARROLLO Y ACTUALIZACION DE SOFTWARE MUNICIPAL SISTEMA CORPORATIVO DE GESTION PUBLICA (SCGP)","complete","EC-RUC-0960001700001-128490","Gobierno Municipal de San Jacinto de Yaguachi","13392.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-03-05T18:00:00-05:00","","","","2020-03-05T18:00:00-05:00","2020-03-06T18:00:00-05:00","2020-03-06T18:00:00-05:00","1","","Experiencia General,Experiencia Específica,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-03-13T17:00:00-05:00","2020-03-13T17:00:00-05:00","","1"
"ocds-5wno2w-CCD-GADMSJY-002-2020-128490","CCD-GADMSJY-002-2020-128490-2021-11-29T14:29:40.519Z","CCD-GADMSJY-002-2020-128490","CCD-GADMSJY-002-2020-128490","ESTUDIOS Y DISEÑOS DEFINITIVOS PARA LA ESTACIÓN DE BOMBEO DE AGUAS LLUVIAS PARA EL SUR DE LA PARROQUIA VIRGEN DE FÁTIMA, CANTÓN YAGUACHI, PROVINCIA DEL GUAYAS”.","complete","EC-RUC-0960001700001-128490","Gobierno Municipal de San Jacinto de Yaguachi","22500.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-05-27T12:00:00-05:00","","","","2020-05-27T12:00:00-05:00","2020-05-27T17:00:00-05:00","2020-05-27T17:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2020-06-05T13:00:00-05:00","2020-06-05T13:00:00-05:00","","1"
"ocds-5wno2w-CCD-GADMT-014-2020-36463","CCD-GADMT-014-2020-36463-2021-11-29T14:36:14.659Z","CCD-GADMT-014-2020-36463","CCD-GADMT-014-2020-36463","CONTRATACIÓN DE LA CONSULTORÍA DE SERVICIOS TÉCNICOS ESPECIALIZADOS PARA LA GESTIÓN DOCUMENTAL Y ADMINISTRACIÓN DE ARCHIVOS","complete","EC-RUC-1560000270001-36463","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE TENA","20000.00","USD","direct","Contratacion directa","services","ratedCriteria","2020-07-29T09:00:00-05:00","","","","2020-07-29T09:00:00-05:00","2020-07-31T09:00:00-05:00","2020-07-31T09:00:00-05:00","2","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-08-14T11:00:00-05:00","2020-08-14T11:00:00-05:00","","1"
