"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-CRISTAL-001-2022-1069031","CDC-CRISTAL-001-2022-1069031-2022-02-07T17:41:52.117Z","CDC-CRISTAL-001-2022-1069031","CDC-CRISTAL-001-2022-1069031","Contratación de servicios profesionales de un/a Técnico/a Contable y Compras Públicas con la finalidad Planificar, dirigir, coordinar y evaluar, la correcta ejecución de los procesos de contratación pública, en la fase preparatoria y precontractual, mediante la aplicación de la política y normativa pública,-SERCOP con el propósito de atender las necesidades de la OEPS y acordes a los lineamientos propuestos en el PNS, FOMENTO PARA LA COMERCIALIZACION ASOCIATIVA: PUNTO SATELITE DE COMERCIALIZACION - EL CRISTAL vinculando a los beneficiarios del PNS y socios/as de la asociación ASOPROAGROELCRI con las propuestas y Acciones emprendidas por el FIDA dentro de lo planteado como objetivo primordial en su PNS; que es mejorar los ingresos económicos y fuentes de trabajo de las familias","complete","EC-RUC-1291785197001-1069031","ASOCIACION DE PRODUCCION AGROPECUARIA EL CRISTAL","3600.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-25T15:00:00-05:00","","","","2022-01-25T15:00:00-05:00","2022-01-25T20:00:00-05:00","2022-01-25T20:00:00-05:00","","","Experiencia Específica,Instrumentos y equipos disponibles","","2022-01-28T20:00:00-05:00","2022-01-28T20:00:00-05:00","","1"
"ocds-5wno2w-CDC-001-GADPNT-2022-117563","CDC-001-GADPNT-2022-117563-2022-03-10T10:07:32.852Z-compiled","CDC-001-GADPNT-2022-117563","CDC-001-GADPNT-2022-117563","Contratar los estudios de consultoría para LA ALINEACIÓN DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DE LA PARROQUIA RURAL NUEVA TARQUI, CANTÓN GUALAQUIZA, PROVINCIA DE MORONA SANTIAGO, AL NUEVO PLAN NACIONAL DE DESARROLLO “CREANDO OPORTUNIDADES 2021-2025, según la normativa legal vigente en el País, de manera participativa y en coordinación con el GAD parroquial de Nueva Tarqui.","complete","EC-RUC-1460018580001-117563","Gobierno Autónomo Parroquial de Nueva Tarqui","2522.67","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-05T11:00:00-05:00","","","","2022-01-05T11:00:00-05:00","2022-01-05T12:00:00-05:00","2022-01-05T12:00:00-05:00","","","Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-01-07T12:00:00-05:00","2022-01-07T12:00:00-05:00","","1"
"ocds-5wno2w-CDC-CBA-2022-001-84942","CDC-CBA-2022-001-84942-2022-05-18T11:33:19.010Z-compiled","CDC-CBA-2022-001-84942","CDC-CBA-2022-001-84942","Consultoría para Elaboración del Reglamento, Asesoría y Capacitación en Salud y Seguridad Ocupacional para el Cuerpo de Bomberos de Azogues.","complete","EC-RUC-0360016150001-84942","Cuerpo de Bomberos de Azogues","2000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-26T16:00:00-05:00","","","","2022-01-26T16:00:00-05:00","2022-01-27T11:00:00-05:00","2022-01-27T11:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Programación de los Servicios","","2022-02-02T15:00:00-05:00","2022-02-02T15:00:00-05:00","","1"
"ocds-5wno2w-CDC-CARCHI-001-2022-2481","CDC-CARCHI-001-2022-2481-2022-05-31T11:49:27.248Z-compiled","CDC-CARCHI-001-2022-2481","CDC-CARCHI-001-2022-2481","ACTUALIZACIÓN ESTUDIOS PUENTE SOBRE EL RÍO EL CARMEN DE MONTE OLIVO","active","EC-RUC-0460000130001-2481","GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DEL CARCHI","7500.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-03T15:00:00-05:00","","","","2022-02-03T15:00:00-05:00","2022-02-04T15:00:00-05:00","2022-02-04T15:00:00-05:00","1","TRUE","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2022-02-22T13:42:00-05:00","2022-02-22T13:42:00-05:00","","1"
"ocds-5wno2w-CDC-002-GADICC-2022-94877","CDC-002-GADICC-2022-94877-2022-06-23T12:12:34.918Z-compiled","CDC-002-GADICC-2022-94877","CDC-002-GADICC-2022-94877","FISCALIZACIÓN DE LA OBRA: “RECAPEO Y MEJORAMIENTO DE LA AVENIDA PASEO DE LOS CAÑARIS","active","EC-RUC-0360000580001-94877","GOBIERNO AUTONOMO DESCENTRALIZADO INTERCULTURAL DEL CANTON CAÑAR","39971.50","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-03T14:30:00-05:00","","","","2022-02-03T14:30:00-05:00","2022-02-04T14:30:00-05:00","2022-02-04T14:30:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2022-02-17T12:30:00-05:00","2022-02-17T12:30:00-05:00","","1"
"ocds-5wno2w-CCD-POVE-001-2022--892051","CCD-POVE-001-2022--892051-2023-02-15T10:29:59.993Z-compiled","CCD-POVE-001-2022--892051","CCD-POVE-001-2022--892051","AUDITORA EXTERNA PARA EXAMINAR LOS ESTADOS FINANCIEROS FIDEICOMISO DE TENENCIA, ADMINISTRACIÓN Y GESTIÓN INMOBILIARIA BIESS - RIO POVE CORRESPONDIENTES AL EJERCICIO FISCAL DEL AÑO 2021","complete","EC-RUC-1792367131001-892051","FIDEICOMIFIDEICOMISO DE TENENCIA, ADMINISTRACION Y GESTION INMOBILIARIA BIESS - RIO POVESO DE TENENCIA, ADMINISTRACION Y GESTION INMOBILIARIA BIESS - RIO POVE","590.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-18T20:00:00-05:00","","","","2022-01-18T20:00:00-05:00","2022-01-20T18:00:00-05:00","2022-01-20T18:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2022-01-31T19:00:00-05:00","2022-01-31T19:00:00-05:00","","1"
"ocds-5wno2w-CDC-AGP-001-2022-462963","CDC-AGP-001-2022-462963-2023-09-29T18:27:06.755Z-compiled","CDC-AGP-001-2022-462963","CDC-AGP-001-2022-462963","SERVICIO DE UNA CONSULTORÍA PARA LA ELABORACIÓN DE LAS AUDITORÍAS AMBIENTALES DE CUMPLIMIENTO Y PLANES DE MANEJO AMBIENTAL DE LA PLANTA ATAHUALPA Y LOS SISTEMAS LAGUNARES DE: SAN PABLO, BALLENITA, SANTA ELENA, PUNTA CARNERO, ANCÓN, ANCONCITO Y ATAHUALPA","active","EC-RUC-2460002550001-462963","EMPRESA PÚBLICA MUNICIPAL MANCOMUNADA DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y PLUVIAL Y DEPURACION Y APROVECHAMIENTO DE AGUAS RESIDUALES SANEAMIENTO AGUAPEN-EP","60000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-03T13:00:00-05:00","","","","2022-02-03T13:00:00-05:00","2022-02-07T13:00:00-05:00","2022-02-07T13:00:00-05:00","4","TRUE","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2022-02-21T16:00:00-05:00","2022-02-21T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-CEMA-001-2022-29813","CDC-CEMA-001-2022-29813-2022-04-09T11:17:13.207Z-compiled","CDC-CEMA-001-2022-29813","CDC-CEMA-001-2022-29813","CONTRATACIÓN DEL ESTUDIO ACTUARIAL PARA LA CEM AUSTROGAS POR EL EJERCICIO ECONÓMICO 2021","complete","EC-RUC-0190070301001-29813","COMPAÑIA DE ECONOMIA MIXTA AUSTROGAS","580.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-19T16:00:00-05:00","","","","2022-01-19T16:00:00-05:00","2022-01-20T16:00:00-05:00","2022-01-20T16:00:00-05:00","1","","Otros Parámetros de Calificación,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2022-01-28T13:00:00-05:00","2022-01-28T13:00:00-05:00","","1"
"ocds-5wno2w-CDC-CBM-003-2021-89788","CDC-CBM-003-2021-89788-2023-09-29T18:26:50.766Z-compiled","CDC-CBM-003-2021-89788","CDC-CBM-003-2021-89788","Mantenimiento y soporte técnico anual del sistema informático SIGCOT periodo 2022, y fortalecimiento del sistema, mediante la implementación de servicios web","complete","EC-RUC-1360020070001-89788","Cuerpo de Bomberos de Manta","6990.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-06T13:00:00-05:00","","","","2022-01-06T13:00:00-05:00","2022-01-07T13:00:00-05:00","2022-01-07T13:00:00-05:00","1","","Experiencia Específica,Experiencia Personal Técnico,Programación de los Servicios,Instrumentos y equipos disponibles","","2022-01-24T15:00:00-05:00","2022-01-24T15:00:00-05:00","","1"
"ocds-5wno2w-CDC-EPNTECH-2022-001-572951","CDC-EPNTECH-2022-001-572951-2023-09-29T18:26:51.445Z-compiled","CDC-EPNTECH-2022-001-572951","CDC-EPNTECH-2022-001-572951","SERVICIOS DE AUDITORIA PARA DICTAMINAR LA RAZONABILIDAD DE LOS ESTADOS FINANCIEROS DE LA EMPRESA PUBLICA DE ADMINISTRACION Y GESTION DE SERVICIOS Y PRODUCTOS DE PROYECTOS DE INVESTIGACION DE LA ESCUELA POLITECNICA NACIONAL EPN-TECH EP POR EL EJERCICIO ECONOMICO TERMINADO AL 31 DE DICIEMBRE DEL 2017 al 2020","complete","EC-RUC-1768179760001-572951","EMPRESA PÚBLICA DE ADMINISTRACIÓN Y GESTIÓN DE SERVICIOS Y PRODUCTOS DE PROYECTOS DE INVESTIGACIÓN DE LA ESCUELA POLITÉCNICA NACIONAL","6000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-13T15:00:00-05:00","","","","2022-01-13T15:00:00-05:00","2022-01-13T16:00:00-05:00","2022-01-13T16:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2022-01-18T20:00:00-05:00","2022-01-18T20:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMANTA-01-22-2668","CDC-GADMANTA-01-22-2668-2022-05-31T11:49:46.535Z-compiled","CDC-GADMANTA-01-22-2668","CDC-GADMANTA-01-22-2668","ADAPTACIÓN DE LOS DATOS EXISTENTES Y CONSTRUCCIÓN DE ESCENARIOS PARA VALORACIÓN DE LAS EDIFICACIONES DE LA ZONA URBANA DEL CANTÓN MANTA DE LA PROVINCIA DE MANABÍ","complete","EC-RUC-1360000980001-2668","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON MANTA","30000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-18T10:00:00-05:00","","","","2022-01-18T10:00:00-05:00","2022-01-19T10:00:00-05:00","2022-01-19T10:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-02-02T18:00:00-05:00","2022-02-02T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADEP-001-2022-23948","CDC-GADEP-001-2022-23948-2022-06-25T12:47:07.548Z-compiled","CDC-GADEP-001-2022-23948","CDC-GADEP-001-2022-23948","FISCALIZACION DE LA CONTRUCCION DE LA CUBIERTA DE LA CANCHA 6 DE NOVIEMBRE, CANTON EL PAN, PROVINCIA DEL AZUAY","active","EC-RUC-0160002050001-23948","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON EL PAN","6000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-07T10:00:00-05:00","","","","2022-02-07T10:00:00-05:00","2022-02-08T10:00:00-05:00","2022-02-08T10:00:00-05:00","1","","Experiencia General,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-02-17T14:00:00-05:00","2022-02-17T14:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADCP-001-2022-34880","CDC-GADCP-001-2022-34880-2022-12-09T16:45:19.059Z-compiled","CDC-GADCP-001-2022-34880","CDC-GADCP-001-2022-34880","ELABORACIÒN DE LOS ESTUDIOS GEOLÒGICOS-GEOTÈCNICOS-CIMENTACIONES PARA EL DISEÑO ESTRUCTURAL DEL MERCADO CENTRO COMERCIAL DE LA CIUDAD DE PALANDA, CANTÒN PALANDA, PROVINCIA DE ZAMORA CHINCHIPE.","complete","EC-RUC-1960107500001-34880","GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON PALANDA","3906.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-18T17:00:00-05:00","","","","2022-01-18T17:00:00-05:00","2022-01-19T17:00:00-05:00","2022-01-19T17:00:00-05:00","1","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-02-03T17:00:00-05:00","2022-02-03T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMUR-001-2022-2485","CDC-GADMUR-001-2022-2485-2022-04-27T11:32:13.748Z-compiled","CDC-GADMUR-001-2022-2485","CDC-GADMUR-001-2022-2485","MEJORAMIENTO Y MANTENIMIENTO DE EQUIPAMIENTOS DEPORTIVOS Y ÁREAS RECREATIVAS - ESTUDIOS DE SUELOS VARIOS","complete","EC-RUC-1760003920001-2485","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON RUMIÑAHUI GADMUR","4550.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-19T11:00:00-05:00","","","","2022-01-19T11:00:00-05:00","2022-01-21T11:00:00-05:00","2022-01-21T11:00:00-05:00","2","","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-02-04T11:00:00-05:00","2022-02-04T11:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMSUC-001-2022-42986","CDC-GADMSUC-001-2022-42986-2022-02-22T09:46:36.895Z-compiled","CDC-GADMSUC-001-2022-42986","CDC-GADMSUC-001-2022-42986","CONSULTORÍA PARA LA ELABORACIÓN DE LOS INFORMES DE AUDITORÍA MINERA A LOS INFORMES SEMESTRALES DE PRODUCCIÓN DE LAS ÁREAS DE LIBRE APROVECHAMIENTO DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SUCÚA","active","EC-RUC-1460000880001-42986","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SUCÚA","2200.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-04T13:00:00-05:00","","","","2022-02-04T13:00:00-05:00","2022-02-07T15:30:00-05:00","2022-02-07T15:30:00-05:00","3","","Experiencia General,Experiencia Específica,Plan de Trabajo","","2022-02-21T13:30:00-05:00","2022-02-21T13:30:00-05:00","","1"
"ocds-5wno2w-CDC-GADMCS-01-2022-57127","CDC-GADMCS-01-2022-57127-2022-03-29T10:29:14.319Z-compiled","CDC-GADMCS-01-2022-57127","CDC-GADMCS-01-2022-57127","FISCALIZACIÓN DE ADECUACIÓN DE CANALIZACIONES PARA REDES ELÉCTRICAS Y TELECOMUNICACIONES EN CIUDAD CELESTE DE LA PARROQUIA URBANA SATÉLITE LA PUNTILLA DEL CANTÓN SAMBORONDÓN","active","EC-RUC-0960001460001-57127","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAMBORONDON","34271.65","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-07T08:30:00-05:00","","","","2022-02-07T08:30:00-05:00","2022-02-09T08:30:00-05:00","2022-02-09T08:30:00-05:00","2","","Experiencia General,Experiencia Específica","","2022-02-18T17:00:00-05:00","2022-02-18T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMSCP-001-2022-59276","CDC-GADMSCP-001-2022-59276-2022-04-23T12:06:02.788Z-compiled","CDC-GADMSCP-001-2022-59276","CDC-GADMSCP-001-2022-59276","“AUDITORÍA AMBIENTAL DE CONJUNCIÓN DEL PROYECTO ESTUDIOS DE FACTIBILIDAD Y DISEÑOS DEFINITIVOS PARA EL MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE ALCANTARILLADOP COMBINADO DEL CANTÓN PATATE, PROVINCIA DE TUNGURAHUA PARA LAS FASES DE CONSTRUCCIÓN, OPERACIÓN, MANTENIMIENTO Y ABANDONO DEL SISTEMA DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO”","active","EC-RUC-1860000560001-59276","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SAN CRISTOBAL DE PATATE ","15000.00","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-03T18:00:00-05:00","","","","2022-02-03T18:00:00-05:00","2022-02-04T18:45:00-05:00","2022-02-04T18:45:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Programación de los Servicios,Instrumentos y equipos disponibles","","2022-02-23T18:00:00-05:00","2022-02-23T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-GPM-003-2022-2609","CDC-GPM-003-2022-2609-2022-03-17T10:11:29.648Z-compiled","CDC-GPM-003-2022-2609","CDC-GPM-003-2022-2609","FISCALIZACIÓN PARA LA CONSTRUCCIÓN DE LA VÍA DESDE LA VÍA CIRCUNVALACIÓN HASTA SAN JUAN DE LA PARROQUIA TARQUI - CANTÓN MANTA","active","EC-RUC-1360000120001-2609","CONSEJO PROVINCIAL DE MANABÍ","53990.99","USD","direct","Contratacion directa","services","ratedCriteria","2022-02-03T14:00:00-05:00","","","","2022-02-03T14:00:00-05:00","2022-02-04T14:00:00-05:00","2022-02-04T14:00:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-02-21T10:16:00-05:00","2022-02-21T10:16:00-05:00","","1"
"ocds-5wno2w-CDC-GADPRTURI-1-2022-93749","CDC-GADPRTURI-1-2022-93749-2023-09-29T18:26:54.510Z-compiled","CDC-GADPRTURI-1-2022-93749","CDC-GADPRTURI-1-2022-93749","ESTUDIO Y DISEÑO DEL MURO DE CONTENCIÓN DE LA VÍA TURI CENTRO, Y, ESTUDIO GEOMÉTRICO, GEOTÉCNICO Y DE PAVIMENTOS PARA LA VIA SAN MARCOS, PERTENECIENTE A LA PARROQUIA TURI DEL CANTÓN CUENCA","complete","EC-RUC-0160026580001-93749","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TURI","3430.57","USD","direct","Contratacion directa","services","ratedCriteria","2022-01-20T15:00:00-05:00","","","","2022-01-20T15:00:00-05:00","2022-01-20T16:00:00-05:00","2022-01-20T16:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2022-01-25T18:00:00-05:00","2022-01-25T18:00:00-05:00","","1"
