"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-EMUCEEP-006-2019-289014","CDC-EMUCEEP-006-2019-289014-2021-12-01T04:09:27.210Z","CDC-EMUCEEP-006-2019-289014","CDC-EMUCEEP-006-2019-289014","ESTUDIO VOC SOBRE LOS PRODUCTOS Y SERVICIOS QUE BRINDA EMUCE EP","complete","EC-RUC-0160048040001-289014","EMPRESA PUBLICA CEMENTERIOS CUENCA","5000.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-08-21T15:00:00-05:00","","","","2019-08-21T15:00:00-05:00","2019-08-21T20:00:00-05:00","2019-08-21T20:00:00-05:00","","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2019-08-28T18:00:00-05:00","2019-08-28T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-02-GADPRJM-2019-113564","CDC-02-GADPRJM-2019-113564-2021-12-01T03:20:23.231Z","CDC-02-GADPRJM-2019-113564","CDC-02-GADPRJM-2019-113564","CONSULTORIA PARA EL DISEÑO DE LA CASA COMUNAL DEL BARRIO EL EMPALME","complete","EC-RUC-1865016160001-113564","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL JUAN MONTALVO","10714.29","USD","direct","Contratacion directa","services","ratedCriteria","2019-04-02T11:00:00-05:00","","","","2019-04-02T11:00:00-05:00","2019-04-03T11:00:00-05:00","2019-04-03T11:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2019-04-09T12:00:00-05:00","2019-04-09T12:00:00-05:00","","1"
"ocds-5wno2w-CDC-CELGSR-051-19-238940","CDC-CELGSR-051-19-238940-2021-12-01T06:17:22.992Z","CDC-CELGSR-051-19-238940","CDC-CELGSR-051-19-238940","GSR: Estudio de Impacto Ambiental y Plan de Manejo del Proyecto Eólico Villonaco 3; emplazamiento Huayrapamba.","complete","EC-RUC-1768152800001-238940","CORPORACION ELECTRICA DEL ECUADOR CELEC EP.","57921.88","USD","direct","Contratacion directa","services","ratedCriteria","2019-11-21T18:00:00-05:00","","","","2019-11-21T18:00:00-05:00","2019-11-22T18:00:00-05:00","2019-11-22T18:00:00-05:00","1","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2019-11-29T10:00:00-05:00","2019-11-29T10:00:00-05:00","","1"
"ocds-5wno2w-001-CDC-GADPLR-2019-2805","001-CDC-GADPLR-2019-2805-2021-12-01T05:52:11.025Z","001-CDC-GADPLR-2019-2805","001-CDC-GADPLR-2019-2805","ELABORACIÓN DEL PLAN DE REDISEÑO Y AJUSTE ORGANIZACIONAL Y LA REVISIÓN, AJUSTE Y/O REFORMULACIÓN DE LOS INSTRUMENTOS CLAVES PARA LA GESTIÓN DEL TALENTO HUMANO; QUE PERMITA EL MEJORAMIENTO ORGANIZACIONAL Y FINANCIERO","complete","EC-RUC-1260000140001-2805","GOBIERNO PROVINCIAL DE LOS RIOS","70000.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-08-21T19:00:00-05:00","","","","2019-08-21T19:00:00-05:00","2019-08-22T19:00:00-05:00","2019-08-22T19:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2019-08-30T18:00:00-05:00","2019-08-30T18:00:00-05:00","","1"
"ocds-5wno2w-004-CDC-GADMB-2019-20973","004-CDC-GADMB-2019-20973-2021-12-01T06:03:55.705Z","004-CDC-GADMB-2019-20973","004-CDC-GADMB-2019-20973","CONTRATACION DE UN SERVICIO DE CONSULTORIA PARA OBTENCION DE LOS LIBRES APROVECHAMIENTOS DE MATERIALES DE CONSTRUCCION DE LAS MINAS FEBRES CORDERO Y LA UNION DEL GADMB","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","2500.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-10-16T19:00:00-05:00","","","","2019-10-16T19:00:00-05:00","2019-10-17T19:00:00-05:00","2019-10-17T19:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2019-10-24T18:00:00-05:00","2019-10-24T18:00:00-05:00","","1"
"ocds-5wno2w-006-CDC-GADMB-2019-20973","006-CDC-GADMB-2019-20973-2021-12-01T06:17:22.613Z","006-CDC-GADMB-2019-20973","006-CDC-GADMB-2019-20973","CONSULTORÍA PARA LOS ESTUDIOS DE LOS DISEÑOS DEL NUEVO EDIFICIO PARA CENTRO SOCIAL MUNICIPAL","complete","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","70200.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-11-21T19:00:00-05:00","","","","2019-11-21T19:00:00-05:00","2019-11-22T19:00:00-05:00","2019-11-22T19:00:00-05:00","1","","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2019-12-03T18:00:00-05:00","2019-12-03T18:00:00-05:00","","1"
"ocds-5wno2w-050455-115420","050455-115420-2021-12-01T06:52:12.639Z","050455-115420","050455-115420","ACTUALIZACIÓN DEL PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DEL GOBIERNO PARROQUIAL RURAL DE LA VICTORIA PERTENECIENTE AL CANTÓN PUJILÍ","complete","EC-RUC-0560019480001-115420","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE LA VICTORIA","22300.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-10-28T09:00:00-05:00","","","","2019-10-28T09:00:00-05:00","2019-10-29T17:00:00-05:00","2019-10-29T17:00:00-05:00","1","TRUE","Otros Parámetros de Calificación,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2019-11-08T10:00:00-05:00","2019-11-08T10:00:00-05:00","","1"
"ocds-5wno2w-111157-129793","111157-129793-2021-12-01T06:45:25.422Z","111157-129793","111157-129793","DISEÑO DEFINITIVO, PRECIOS UNITARIOS Y ESPECIFICACIONES TÉCNICAS DEL CERRAMIENTO DEL CEMENTERIO DE LA POBLACIÓN DE UCHUCAY-PARROQUIA YULUC","complete","EC-RUC-1160031710001-129793","JUNTA PARROQUIAL SAN SEBASTIAN DE YULUC","1500.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-06-28T09:00:00-05:00","","","","2019-06-28T09:00:00-05:00","2019-06-28T13:00:00-05:00","2019-06-28T13:00:00-05:00","","","Experiencia General,Plan de Trabajo","","2019-07-03T14:00:00-05:00","2019-07-03T14:00:00-05:00","","1"
"ocds-5wno2w-150254-116595","150254-116595-2021-12-01T06:35:09.084Z","150254-116595","150254-116595","CONTRATACIÓN DE UNA CONSULTORIA PARA LA ACTUALIZACIÓN DEL “PLAN DE DESARROLLO Y ORDENAMIENTO TERRITORIAL DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PARROQUIAL DE SAN PABLO DE USHPAYACU 2019-2023","complete","EC-RUC-1560602240001-116595","JUNTA PARROQUIAL SAN PABLO DE USHPAYACU","30000.00","USD","direct","Contratacion directa","services","ratedCriteria","2019-12-24T09:00:00-05:00","","","","2019-12-24T09:00:00-05:00","2019-12-24T11:00:00-05:00","2019-12-24T11:00:00-05:00","","TRUE","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2020-01-06T16:00:00-05:00","2020-01-06T16:00:00-05:00","","1"
"ocds-5wno2w-180111-115948","180111-115948-2021-12-01T03:24:01.284Z","180111-115948","180111-115948","FISCALIZACIÓN MEJORAMIENTO DE ACERAS Y BORDILLOS EN EL CASERÍO LA PRIMAVERA JESÚS DEL GRAN PODER PACCHA BELLAVISTA MIRADOR Y BARRIO CENTRO SEGUNDA ETAPA","complete","EC-RUC-1865015940001-115948","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE UNAMUNCHO","7482.68","USD","direct","Contratacion directa","services","ratedCriteria","2019-04-10T12:00:00-05:00","","","","2019-04-10T12:00:00-05:00","2019-04-10T18:00:00-05:00","2019-04-10T18:00:00-05:00","","","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2019-04-18T12:00:00-05:00","2019-04-18T12:00:00-05:00","","1"
