"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-CPMCP-002-2016-592427","CDC-CPMCP-002-2016-592427-2021-12-02T08:20:03.919Z","CDC-CPMCP-002-2016-592427","CDC-CPMCP-002-2016-592427","CONSULTORIA FINANCIERA","complete","EC-RUC-0190389413001-592427","COMITE PRO MEJORAS DE LA COMUNIDAD LOS PINOS","2700.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-05-18T14:00:00-05:00","","","","2016-05-18T14:00:00-05:00","2016-05-18T15:00:00-05:00","2016-05-18T15:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2016-05-25T17:00:00-05:00","2016-05-25T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-CPEC-008A-2016-3264","CDC-CPEC-008A-2016-3264-2021-12-02T11:40:24.884Z","CDC-CPEC-008A-2016-3264","CDC-CPEC-008A-2016-3264","ESTUDIO DE EXPORTACIONES QUITO-PICHINCHA","complete","EC-RUC-1791905911001-3264","CORPORACION DE PROMOCION ECONOMICA CONQUITO","15789.47","USD","direct","Contratacion directa","services","ratedCriteria","2016-12-27T13:00:00-05:00","","","","2016-12-27T13:00:00-05:00","2016-12-28T13:00:00-05:00","2016-12-28T13:00:00-05:00","1","","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2016-12-30T17:00:00-05:00","2016-12-30T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-EEASA-070-2016-3233","CDC-EEASA-070-2016-3233-2021-12-02T09:16:33.592Z","CDC-EEASA-070-2016-3233","CDC-EEASA-070-2016-3233","MANTENIMIENTO DE BASE DE DATOS DE TRANSFORMADORES","complete","EC-RUC-1890001439001-3233","EMPRESA ELECTRICA AMBATO REGIONAL CENTRO NORTE S.A.","4200.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-08-01T18:00:00-05:00","","","","2016-08-01T18:00:00-05:00","2016-08-02T11:00:00-05:00","2016-08-02T11:00:00-05:00","","","Experiencia Específica,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-08-15T18:00:00-05:00","2016-08-15T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-CBDMQ-03-2016-2525","CDC-CBDMQ-03-2016-2525-2021-12-02T08:19:43.973Z","CDC-CBDMQ-03-2016-2525","CDC-CBDMQ-03-2016-2525","DESARROLLO, ACTUALIZACIÓN Y MANTENIMIENTO DE LA ARQUITECTURA DEL BUS DE DATOS","complete","EC-RUC-1768097950001-2525","CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO","45000.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-05-18T15:00:00-05:00","","","","2016-05-18T15:00:00-05:00","2016-05-19T15:00:00-05:00","2016-05-19T15:00:00-05:00","1","","Experiencia General,Experiencia Específica,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-05-30T17:30:00-05:00","2016-05-30T17:30:00-05:00","","1"
"ocds-5wno2w-CDC-CELHPA-011-16-240714","CDC-CELHPA-011-16-240714-2021-12-02T07:30:56.795Z","CDC-CELHPA-011-16-240714","CDC-CELHPA-011-16-240714","ESTUDIOS DE REGENERACIÓN Y ENCAUSAMIENTO DE LA QUEBRADA SAN VICENTE - PALMAS","complete","EC-RUC-17681528000012-240714","CORPORACION ELECTRICA DEL ECUADOR CELEC EP","20089.28","USD","direct","Contratacion directa","services","ratedCriteria","2016-03-23T16:00:00-05:00","","","","2016-03-23T16:00:00-05:00","2016-03-28T16:00:00-05:00","2016-03-28T16:00:00-05:00","5","","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-04-15T16:00:00-05:00","2016-04-15T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-EPMAPS-005-2016-258814","CDC-EPMAPS-005-2016-258814-2021-12-02T09:26:14.379Z","CDC-EPMAPS-005-2016-258814","CDC-EPMAPS-005-2016-258814","MEDICION DE SATISFACCION DEL CLIENTE 2016","complete","EC-RUC-1768154260001-258814","Empresa Pública Metropolitana de Agua Potable y Saneamiento","20500.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-08-10T18:00:00-05:00","","","","2016-08-10T18:00:00-05:00","2016-08-11T18:00:00-05:00","2016-08-11T18:00:00-05:00","1","TRUE","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2016-08-30T18:02:00-05:00","2016-08-30T18:02:00-05:00","","1"
"ocds-5wno2w-003-CC-PIDR-2016-2583","003-CC-PIDR-2016-2583-2021-12-02T12:48:52.590Z","003-CC-PIDR-2016-2583","003-CC-PIDR-2016-2583","ESTUDIOS COMPLEMENTARIOS DEL SISTEMA DE RIEGO SABLOG ROSA INES, PARROQUIA LA MATRIZ, CANTON GUAMOTE, PROVINCIA DE CHIMBORAZO","complete","EC-RUC-0660000280001-2583","HONORABLE GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO","36000.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-07-08T18:00:00-05:00","","","","2016-07-08T18:00:00-05:00","2016-07-11T18:00:00-05:00","2016-07-11T18:00:00-05:00","3","","Experiencia General,Experiencia Específica","","2016-07-22T18:00:00-05:00","2016-07-22T18:00:00-05:00","","1"
"ocds-5wno2w-CCD-001-CCI-ZSO-2016-253178","CCD-001-CCI-ZSO-2016-253178-2021-12-02T08:34:33.557Z","CCD-001-CCI-ZSO-2016-253178","CCD-001-CCI-ZSO-2016-253178","AUDITORÍA INTERNA ISO 17025 Y CIERRE DE NO CONFORMIDADES EN EL LABORATORIO DE CONTROL DE CALIDAD","complete","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","4150.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-06-08T20:00:00-05:00","","","","2016-06-08T20:00:00-05:00","2016-06-09T10:00:00-05:00","2016-06-09T10:00:00-05:00","","TRUE","Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-06-22T18:00:00-05:00","2016-06-22T18:00:00-05:00","","1"
"ocds-5wno2w-001-CC-PIDR-2016-2583","001-CC-PIDR-2016-2583-2021-12-02T12:01:12.413Z","001-CC-PIDR-2016-2583","001-CC-PIDR-2016-2583","COMPLEMENTACION DE LOS ESTUDIOS DEL SISTEMA DE RIEGO SANTA ANA DE SAGUAN, PARROQUIA QUIMIAG, CANTON RIOBAMBA","complete","EC-RUC-0660000280001-2583","HONORABLE GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO","29000.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-05-17T18:00:00-05:00","","","","2016-05-17T18:00:00-05:00","2016-05-18T18:00:00-05:00","2016-05-18T18:00:00-05:00","1","","Experiencia Específica,Experiencia Personal Técnico","","2016-05-26T18:00:00-05:00","2016-05-26T18:00:00-05:00","","1"
"ocds-5wno2w-002-CC-PIDR-2016-2583","002-CC-PIDR-2016-2583-2021-12-02T12:01:15.824Z","002-CC-PIDR-2016-2583","002-CC-PIDR-2016-2583","COMPLEMENTACION DE LOS ESTUDIOS  DEL SISTEMA DE RIEGO LA COMPAÑIA, PARROQUIA SICALPA, CANTON COLTA","complete","EC-RUC-0660000280001-2583","HONORABLE GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO","32630.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-05-17T18:00:00-05:00","","","","2016-05-17T18:00:00-05:00","2016-05-19T18:00:00-05:00","2016-05-19T18:00:00-05:00","2","","Experiencia Específica,Experiencia Personal Técnico","","2016-06-03T18:00:00-05:00","2016-06-03T18:00:00-05:00","","1"
"ocds-5wno2w-CCD-008-OSC-ZS-2016-253178","CCD-008-OSC-ZS-2016-253178-2021-12-02T12:10:36.311Z","CCD-008-OSC-ZS-2016-253178","CCD-008-OSC-ZS-2016-253178","ESTUDIOS DE EVALUACIÓN Y REDISEÑO DEL SISTEMA DE AGUA POTABLE DE LAS COMUNIDADES CERCAPATA Y TAMBILLO, PERTENECIENTE AL CANTÓN SUSCAL, PROVINCIA DEL CAÑAR","complete","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","59305.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-07-28T11:00:00-05:00","","","","2016-07-28T11:00:00-05:00","2016-07-29T11:00:00-05:00","2016-07-29T11:00:00-05:00","1","","Experiencia General,Experiencia Específica,Plan de Trabajo,Instrumentos y equipos disponibles","","2016-08-08T16:45:00-05:00","2016-08-08T16:45:00-05:00","","1"
"ocds-5wno2w-CCD-009-OSC-ZS-2016-253178","CCD-009-OSC-ZS-2016-253178-2021-12-02T09:14:37.124Z","CCD-009-OSC-ZS-2016-253178","CCD-009-OSC-ZS-2016-253178","ESTUDIOS DE EVALUACIÓN Y REDISEÑO DEFINITIVO DE LOS  SISTEMAS DE AGUA POTABLE DE LAS COMUNIDADES SUSCAL VIEJO Y DIMILOMA, PERTENECIENTES AL CANTÓN SUSCAL, PROVINCIA DEL CAÑAR","complete","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","59647.20","USD","direct","Contratacion directa","services","ratedCriteria","2016-07-28T14:00:00-05:00","","","","2016-07-28T14:00:00-05:00","2016-07-29T14:00:00-05:00","2016-07-29T14:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2016-08-08T16:45:00-05:00","2016-08-08T16:45:00-05:00","","1"
"ocds-5wno2w-CCD-010-OSC-ZS-2016-253178","CCD-010-OSC-ZS-2016-253178-2021-12-02T09:36:10.374Z","CCD-010-OSC-ZS-2016-253178","CCD-010-OSC-ZS-2016-253178","ESTUDIOS Y DISEÑOS DEL SISTEMA DE AGUA POTABLE PARA LA COMUNIDAD DE MOYANCON PERTENECIENTE A LA PARROQUIA DUCUR, CANTÓN CAÑAR, PROVINCIA DEL CAÑAR","complete","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","47750.00","USD","direct","Contratacion directa","services","ratedCriteria","2016-08-23T12:00:00-05:00","","","","2016-08-23T12:00:00-05:00","2016-08-24T12:00:00-05:00","2016-08-24T12:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2016-09-02T16:45:00-05:00","2016-09-02T16:45:00-05:00","","1"
